league_id,fixture_id,coach_id,coach_name,formation,team_id,startingXI,substitutes
39,867946,28,P. Vieira,4-2-3-1,18835,18835-Guaita-13-G|18862-N. Clyne-17-D|2729-J. Andersen-16-D|67971-M. Guéhi-6-D|182201-T. Mitchell-3-D|3339-C. Doucouré-28-M|18843-J. Schlupp-15-M|3428-J. Ayew-9-M|19586-E. Eze-10-M|3247-W. Zaha-11-M|1135-O. Édouard-22-F,25927-J. Mateta-14-F|18852-L. Milivojević-4-M|328808-M. Ebiowei-23-M|18806-W. Hughes-19-M|18853-J. Riedewald-44-M|284059-L. Plange-48-F|126949-C. Richards-26-D|19143-S. Johnstone-21-G|18847-J. Ward-2-D
39,867946,7248,Mikel Arteta,4-3-3,20355,20355-A. Ramsdale-1-G|19959-B. White-4-D|22090-W. Saliba-12-D|22224-Gabriel Magalhães-6-D|641-O. Zinchenko-35-D|37127-M. Ødegaard-8-M|49-T. Partey-5-M|1464-G. Xhaka-34-M|1460-B. Saka-7-F|643-Gabriel Jesus-9-F|127769-Gabriel Martinelli-11-F,1468-E. Nketiah-14-F|1117-K. Tierney-3-D|1427-A. Lokonga-23-M|50999-M. Turner-30-G|1452-Mohamed Elneny-25-M|3246-N. Pépé-19-F|1440-R. Holding-16-D|190-Cédric Soares-17-D|727-R. Nelson-24-F
39,867947,10,Marco Silva,4-2-3-1,19657,19657-M. Rodák-1-G|657-K. Tete-2-D|19145-T. Adarabioyo-4-D|19023-T. Ream-13-M|19549-A. Robinson-33-D|19480-H. Reed-6-M|41104-João Palhinha-26-D|19027-N. Kebano-7-M|899-Andreas Pereira-18-M|19004-B. De Cordova-Reid-14-M|2825-A. Mitrović-9-F,697-M. Solomon-11-F|19025-T. Cairney-10-M|18962-S. Duffy-5-D|946-K. Mbabu-27-D|191971-J. Stansfield-65-F|1438-B. Leno-17-G|129707-T. Francois-35-M|284475-L. Harris-38-|195106-Rodrigo Muniz-19-F
39,867947,1,J. Klopp,4-3-3,280,280-Alisson-1-G|283-T. Alexander-Arnold-66-D|286-J. Matip-32-D|290-V. van Dijk-4-M|289-A. Robertson-26-D|292-J. Henderson-14-M|299-Fabinho-3-D|507-Thiago Alcântara-6-M|306-Mohamed Salah-11-F|302-Roberto Firmino-9-F|2489-L. Díaz-23-F,51617-D. Núñez-27-F|19035-H. Elliott-19-M|296-J. Milner-7-M|153066-Fábio Carvalho-28-M|284366-L. Chambers-88-D|18812-Adrián-13-G|36922-S. van den Berg-72-D|310187-Stefan Bajčetić-43-D|284-J. Gomez-2-D
39,867948,87,S. Parker,3-4-2-1,18860,18860-M. Travers-1-G|2490-J. Lerma-8-D|18866-C. Mepham-6-D|19263-L. Kelly-5-D|18869-A. Smith-15-M|19454-B. Pearson-22-M|2734-P. Billing-29-M|19824-J. Zemura-33-M|19245-M. Tavernier-16-F|18883-D. Solanke-9-F|19804-K. Moore-21-F,18872-L. Cook-4-M|1125-R. Christie-10-M|18878-J. Stanislas-19-M|196855-J. Anthony-32-F|151756-W. Dennis-40-G|19964-S. Dembélé-20-M|19769-J. Stacey-17-D|20093-J. Hill-23-D|19356-E. Marcondes-11-M
39,867948,2427,S. Gerrard,4-3-3,19599,19599-E. Martínez-1-G|19298-M. Cash-2-D|19354-E. Konsa-4-D|21090-Diego Carlos-3-D|2724-L. Digne-27-D|19191-J.  McGinn-7-M|1904-B. Kamara-44-M|19192-J. Ramsey-41-M|983-L. Bailey-31-F|18955-D. Ings-9-F|147-Philippe Coutinho-23-F,19071-E. Buendía-10-M|19366-O. Watkins-11-F|137302-C. Archer-35-F|47522-Douglas Luiz-6-M|19179-T. Mings-5-D|2852-L. Augustinsson-17-D|19016-C. Chambers-16-D|894-A. Young-18-D|766-R. Olsen-25-G
39,867949,1914,J. Marsch,4-2-3-1,20619,20619-I. Meslier-1-G|533-R. Kristensen-25-D|26238-R. Koch-5-D|47302-Diego Llorente-14-D|64003-P. Struijk-21-D|47341-Marc Roca-8-M|1150-T. Adams-12-M|50739-B. Aaronson-7-M|935-Rodrigo-19-M|19128-J. Harrison-11-M|19134-P. Bamford-9-F,3008-M. Klich-43-M|153400-S. Greenwood-42-F|19569-J. Gelhardt-30-F|37724-C. Summerville-10-M|153411-C. Drameh-37-D|282124-D. Gyabi-18-M|39105-K. Klaesson-13-G|328089-A. Gray-63-M|297187-L. Hjelde-33-D
39,867949,2213,Bruno Lage,4-2-3-1,1590,1590-José Sá-1-G|18740-Jonny Castro-19-D|19495-N. Collins-4-D|18744-M. Kilman-23-D|21138-R. Aït Nouri-3-D|2922-L. Dendoncker-32-M|2676-Rúben Neves-8-M|1605-Daniel Podence-10-M|18746-M. Gibbs-White-18-M|1864-Pedro Neto-7-M|24888-Hwang Hee-Chan-11-F,158432-C. Campbell-77-M|19173-M. Šarkić-13-G|18741-C. Coady-16-D|18739-W. Boly-15-D|195717-Y. Mosquera-14-D|280687-Hugo Bueno-64-D|149564-L. Cundle-39-M|61178-C. Ronan-25-M|204033-J. Hodge-59-M
39,867951,5,E. Howe,4-3-3,18911,18911-N. Pope-22-G|169-K. Trippier-2-D|2806-F. Schär-5-D|18961-D. Burn-33-D|18941-M. Targett-13-D|1463-J. Willock-28-M|10135-Bruno Guimarães-39-M|723-Joelinton-7-M|2507-M. Almirón-24-F|2939-C. Wilson-9-F|22173-A. Saint-Maximin-10-F,18901-S. Longstaff-36-M|18873-R. Fraser-21-M|18931-C. Wood-20-F|38734-S. Botman-4-D|19163-J. Murphy-23-M|18903-M. Ritchie-11-M|138908-E. Anderson-32-M|18886-M. Dúbravka-1-G|18892-P. Dummett-3-D
39,867951,98,S. Cooper,3-4-1-2,19088,19088-D. Henderson-1-G|1746-J. Worrall-4-D|25916-M. Niakhaté-19-D|44811-S. McKenna-26-D|138780-N. Williams-7-M|20503-L. O'Brien-14-M|19299-J. Colback-8-M|17365-H. Toffolo-15-M|900-J. Lingard-11-F|129711-B. Johnson-20-F|18884-S. Surridge-16-F,8598-T. Awoniyi-9-F|24882-O. Mangala-5-M|129712-A. Mighten-17-F|279-L. Mbe Soh-6-D|84081-G. Biancone-2-D|19842-L. Taylor-33-F|40401-Cafú-18-M|325967-O. Hammond-41-M|18836-W. Hennessey-13-G
