league_id,fixture_id,league_name,league_country,league_logo,league_flag,event_date,event_timestamp,first_half_start,second_half_start,round,status,status_short,elapsed,venue,referee,home_team_team_id,home_team_team_name,home_team_logo,away_team_team_id,away_team_team_name,away_team_logo,goals_home_team,goals_away_team,score_half_time,score_full_time,score_extra_time,score_penalty
39,867946,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-05T19:00:00+00:00,1659726000,1659726000,1659729600,Regular Season - 1,Match Finished,FT,90,Selhurst Park,A. Taylor,52,Crystal Palace,https://media-2.api-sports.io/football/teams/52.png,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png,0,2,0-1,0-2,,
39,867947,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-06T11:30:00+00:00,1659785400,1659785400,1659789000,Regular Season - 1,Match Finished,FT,90,Craven Cottage,A. Madley,36,Fulham,https://media-1.api-sports.io/football/teams/36.png,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png,2,2,1-0,2-2,,
39,867948,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-06T14:00:00+00:00,1659794400,1659794400,1659798000,Regular Season - 1,Match Finished,FT,90,Vitality Stadium,P. Bankes,35,Bournemouth,https://media-2.api-sports.io/football/teams/35.png,66,Aston Villa,https://media-3.api-sports.io/football/teams/66.png,2,0,1-0,2-0,,
39,867949,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-06T14:00:00+00:00,1659794400,1659794400,1659798000,Regular Season - 1,Match Finished,FT,90,Elland Road,R. Jones,63,Leeds,https://media-1.api-sports.io/football/teams/63.png,39,Wolves,https://media-2.api-sports.io/football/teams/39.png,2,1,1-1,2-1,,
39,867951,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-06T14:00:00+00:00,1659794400,1659794400,1659798000,Regular Season - 1,Match Finished,FT,90,St. James' Park,S. Hooper,34,Newcastle,https://media-3.api-sports.io/football/teams/34.png,65,Nottingham Forest,https://media-2.api-sports.io/football/teams/65.png,2,0,0-0,2-0,,
39,867952,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-06T14:00:00+00:00,1659794400,1659794400,1659798000,Regular Season - 1,Match Finished,FT,90,Tottenham Hotspur Stadium,A. Marriner,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png,41,Southampton,https://media-3.api-sports.io/football/teams/41.png,4,1,2-1,4-1,,
39,867953,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-06T16:30:00+00:00,1659803400,1659803400,1659807000,Regular Season - 1,Match Finished,FT,90,Goodison Park,C. Pawson,45,Everton,https://media-3.api-sports.io/football/teams/45.png,49,Chelsea,https://media-1.api-sports.io/football/teams/49.png,0,1,0-1,0-1,,
39,867950,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-07T13:00:00+00:00,1659877200,1659877200,1659880800,Regular Season - 1,Match Finished,FT,90,King Power Stadium,J. Gillett,46,Leicester,https://media-1.api-sports.io/football/teams/46.png,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,2,2,1-0,2-2,,
39,867954,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-07T13:00:00+00:00,1659877200,1659877200,1659880800,Regular Season - 1,Match Finished,FT,90,Old Trafford,P. Tierney,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,1,2,0-2,1-2,,
39,867955,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-07T15:30:00+00:00,1659886200,1659886200,1659889800,Regular Season - 1,Match Finished,FT,90,London Stadium,M. Oliver,48,West Ham,https://media-1.api-sports.io/football/teams/48.png,50,Manchester City,https://media-1.api-sports.io/football/teams/50.png,0,2,0-1,0-2,,
39,867957,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-13T11:30:00+00:00,1660390200,1660390200,1660393800,Regular Season - 2,Match Finished,FT,90,Villa Park,M. Oliver,66,Aston Villa,https://media-2.api-sports.io/football/teams/66.png,45,Everton,https://media-2.api-sports.io/football/teams/45.png,2,1,1-0,2-1,,
39,867956,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-13T14:00:00+00:00,1660399200,1660399200,1660402800,Regular Season - 2,Match Finished,FT,90,Emirates Stadium,D. England,42,Arsenal,https://media-1.api-sports.io/football/teams/42.png,46,Leicester,https://media-1.api-sports.io/football/teams/46.png,4,2,2-0,4-2,,
39,867959,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-13T14:00:00+00:00,1660399200,1660399200,1660402800,Regular Season - 2,Match Finished,FT,90,The American Express Community Stadium,G. Scott,51,Brighton,https://media-3.api-sports.io/football/teams/51.png,34,Newcastle,https://media-3.api-sports.io/football/teams/34.png,0,0,0-0,0-0,,
39,867962,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-13T14:00:00+00:00,1660399200,1660399200,1660402800,Regular Season - 2,Match Finished,FT,90,Etihad Stadium,D. Coote,50,Manchester City,https://media-1.api-sports.io/football/teams/50.png,35,Bournemouth,https://media-2.api-sports.io/football/teams/35.png,4,0,3-0,4-0,,
39,867964,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-13T14:00:00+00:00,1660399200,1660399200,1660402800,Regular Season - 2,Match Finished,FT,90,St. Mary's Stadium,T. Harrington,41,Southampton,https://media-3.api-sports.io/football/teams/41.png,63,Leeds,https://media-3.api-sports.io/football/teams/63.png,2,2,0-0,2-2,,
39,867965,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-13T14:00:00+00:00,1660399200,1660399200,1660402800,Regular Season - 2,Match Finished,FT,90,Molineux Stadium,J. Brooks,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,36,Fulham,https://media-3.api-sports.io/football/teams/36.png,0,0,0-0,0-0,,
39,867958,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-13T16:30:00+00:00,1660408200,1660408200,1660411800,Regular Season - 2,Match Finished,FT,90,Gtech Community Stadium,S. Attwell,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,4,0,4-0,4-0,,
39,867963,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-14T13:00:00+00:00,1660482000,1660482000,1660485600,Regular Season - 2,Match Finished,FT,90,The City Ground,R. Jones,65,Nottingham Forest,https://media-3.api-sports.io/football/teams/65.png,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,1,0,1-0,1-0,,
39,867960,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-14T15:30:00+00:00,1660491000,1660491000,1660494600,Regular Season - 2,Match Finished,FT,90,Stamford Bridge,A. Taylor,49,Chelsea,https://media-2.api-sports.io/football/teams/49.png,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,2,2,1-0,2-2,,
39,867961,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-15T19:00:00+00:00,1660590000,1660590000,1660593600,Regular Season - 2,Match Finished,FT,90,Anfield,P. Tierney,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png,52,Crystal Palace,https://media-3.api-sports.io/football/teams/52.png,1,1,0-1,1-1,,
39,867974,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-20T11:30:00+00:00,1660995000,1660995000,1660998600,Regular Season - 3,Match Finished,FT,90,Tottenham Hotspur Stadium,S. Hooper,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,1,0,0-0,1-0,,
39,867967,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-20T14:00:00+00:00,1661004000,1661004000,1661007600,Regular Season - 3,Match Finished,FT,90,Selhurst Park,A. Madley,52,Crystal Palace,https://media-1.api-sports.io/football/teams/52.png,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png,3,1,1-1,3-1,,
39,867968,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-20T14:00:00+00:00,1661004000,1661004000,1661007600,Regular Season - 3,Match Finished,FT,90,Goodison Park,A. Marriner,45,Everton,https://media-3.api-sports.io/football/teams/45.png,65,Nottingham Forest,https://media-3.api-sports.io/football/teams/65.png,1,1,0-0,1-1,,
39,867969,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-20T14:00:00+00:00,1661004000,1661004000,1661007600,Regular Season - 3,Match Finished,FT,90,Craven Cottage,P. Bankes,36,Fulham,https://media-1.api-sports.io/football/teams/36.png,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,3,2,2-1,3-2,,
39,867971,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-20T14:00:00+00:00,1661004000,1661004000,1661007600,Regular Season - 3,Match Finished,FT,90,King Power Stadium,M. Salisbury,46,Leicester,https://media-2.api-sports.io/football/teams/46.png,41,Southampton,https://media-2.api-sports.io/football/teams/41.png,1,2,0-0,1-2,,
39,867966,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-20T16:30:00+00:00,1661013000,1661013000,1661016600,Regular Season - 3,Match Finished,FT,90,Vitality Stadium,C. Pawson,35,Bournemouth,https://media-1.api-sports.io/football/teams/35.png,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png,0,3,0-2,0-3,,
39,867970,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-21T13:00:00+00:00,1661086800,1661086800,1661090400,Regular Season - 3,Match Finished,FT,90,Elland Road,S. Attwell,63,Leeds,https://media-3.api-sports.io/football/teams/63.png,49,Chelsea,https://media-3.api-sports.io/football/teams/49.png,3,0,2-0,3-0,,
39,867975,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-21T13:00:00+00:00,1661086800,1661086800,1661090400,Regular Season - 3,Match Finished,FT,90,London Stadium,A. Taylor,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,0,2,0-1,0-2,,
39,867973,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-21T15:30:00+00:00,1661095800,1661095800,1661099400,Regular Season - 3,Match Finished,FT,90,St. James' Park,J. Gillett,34,Newcastle,https://media-2.api-sports.io/football/teams/34.png,50,Manchester City,https://media-2.api-sports.io/football/teams/50.png,3,3,2-1,3-3,,
39,867972,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-22T19:00:00+00:00,1661194800,1661194800,1661198400,Regular Season - 3,Match Finished,FT,90,Old Trafford,M. Oliver,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png,2,1,1-0,2-1,,
39,867984,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-27T11:30:00+00:00,1661599800,1661599800,1661603400,Regular Season - 4,Match Finished,FT,90,St. Mary's Stadium,A. Madley,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,33,Manchester United,https://media-1.api-sports.io/football/teams/33.png,0,1,0-0,0-1,,
39,867978,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-27T14:00:00+00:00,1661608800,1661608800,1661612400,Regular Season - 4,Match Finished,FT,90,Gtech Community Stadium,J. Brooks,55,Brentford,https://media-3.api-sports.io/football/teams/55.png,45,Everton,https://media-1.api-sports.io/football/teams/45.png,1,1,0-1,1-1,,
39,867979,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022-08-27T14:00:00+00:00,1661608800,1661608800,1661612400,Regular Season - 4,Match Finished,FT,90,The American Express Community Stadium,M. Salisbury,51,Brighton,https://media-3.api-sports.io/football/teams/51.png,63,Leeds,https://media-3.api-sports.io/football/teams/63.png,1,0,0-0,1-0,,
39,867980,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022-08-27T14:00:00+00:00,1661608800,1661608800,1661612400,Regular Season - 4,Match Finished,FT,90,Stamford Bridge,P. Tierney,49,Chelsea,https://media-2.api-sports.io/football/teams/49.png,46,Leicester,https://media-1.api-sports.io/football/teams/46.png,2,1,0-0,2-1,,
39,867981,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022-08-27T14:00:00+00:00,1661608800,1661608800,1661612400,Regular Season - 4,Match Finished,FT,90,Anfield,S. Attwell,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png,35,Bournemouth,https://media-2.api-sports.io/football/teams/35.png,9,0,5-0,9-0,,
